,영화명,네이버영화 URL,index
0,어벤져스: 에이지 오브 울트론,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98438,0
1,아바타: 물의 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74977,1
2,기생충,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967,2
3,겨울왕국,정보 없음,3
4,인터스텔라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45290,4
5,보헤미안 랩소디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,5
6,검사외전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,6
7,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903,7
8,관상,정보 없음,8
9,아이언맨 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70254,9
