,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,감독
20,21,괴물,2006-07-27,"66,717,700,300","10,917,400",647,"113,105",한국,한국,(주)쇼박스,0
22,23,왕의 남자,2005-12-29,"66,019,904,400","10,514,177",313,"111,193",한국,한국,(주)시네마서비스,0
41,42,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스,0
49,50,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,CJ ENM,0
66,67,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,CJ ENM,0
71,72,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스,0
77,78,미녀는 괴로워,2006-12-14,"36,292,848,900","6,081,480",418,"87,141",한국,한국,(주)쇼박스,0
84,85,타짜,2006-09-28,"36,263,483,300","5,692,997",492,"77,625",한국,한국,CJ ENM,0
107,108,미션 임파서블 3,2006-05-03,"32,155,201,400","5,127,047",441,"72,584",미국,미국,UIP코리아,0
108,109,투사부일체,2006-01-19,"31,959,686,000","5,074,314",407,"54,339",한국,한국,CJ ENM,0
134,135,스파이더맨 3,2007-05-01,"29,511,658,000","4,592,309",806,"79,966",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,0
138,139,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500","4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,0
139,140,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009",한국,한국,(주)쇼박스,0
151,152,박물관이 살아있다!,2006-12-21,"24,401,542,200","4,245,247",345,"56,526",미국,미국,이십세기폭스코리아(주),0
153,154,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495",한국,한국,(주)쇼박스,0
169,170,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아,0
183,184,해리 포터와 불사조 기사단,2007-07-11,"23,010,956,770","3,702,538",768,"53,631",미국,미국,워너브러더스 코리아(주),0
194,195,해리 포터와 불의 잔,2005-12-01,"22,097,731,900","3,499,257",504,"45,555",미국,미국,워너브러더스 코리아(주),0
196,197,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155",한국,한국,CJ ENM,0
197,198,킹콩,2005-12-14,"21,476,688,172","3,470,059",319,"38,456",미국,미국,UIP코리아,0
